"","CustomerID","Recency","mon_value","Frequency","Recency_group","Frequency_group","mon_value_group"
"1",12347,25,711.79,1,"old","very rare","very large"
"2",12348,16,652.8,1,"very recent","very rare","very large"
"3",12370,15,1748.02,2,"very recent","rare","very large"
"4",12377,12,1001.52,1,"very recent","very rare","very large"
"5",12383,10,555.72,1,"very recent","very rare","large"
"6",12386,24,258.9,1,"old","very rare","medium"
"7",12395,15,589.92,2,"very recent","rare","very large"
"8",12417,15,261.34,1,"very recent","very rare","medium"
"9",12423,11,192.93,1,"very recent","very rare","small"
"10",12427,29,249.5,1,"oldest","very rare","medium"
"11",12429,23,1137.5,1,"old","very rare","very large"
"12",12431,15,773.95,2,"very recent","rare","very large"
"13",12433,24,3787.12,2,"old","rare","very large"
"14",12441,24,155.55,1,"old","very rare","small"
"15",12471,15,3298.36,3,"very recent","rare","very large"
"16",12472,27,1523.3,1,"oldest","very rare","very large"
"17",12476,19,12.45,1,"recent","very rare","small"
"18",12481,12,665.34,2,"very recent","rare","very large"
"19",12494,16,44.55,2,"very recent","rare","small"
"20",12515,11,278.7,1,"very recent","very rare","medium"
"21",12540,19,741.01,1,"recent","very rare","very large"
"22",12551,15,168,1,"very recent","very rare","small"
"23",12557,29,620,1,"oldest","very rare","very large"
"24",12567,25,1726.38,2,"old","rare","very large"
"25",12577,17,195.89,1,"recent","very rare","small"
"26",12583,31,801.86,1,"oldest","very rare","very large"
"27",12585,9,1154.85,1,"very recent","very rare","very large"
"28",12600,15,238.8,2,"very recent","rare","medium"
"29",12621,15,1239.65,2,"very recent","rare","very large"
"30",12647,15,995.6,4,"very recent","frequent","very large"
"31",12662,31,243.48,1,"oldest","very rare","medium"
"32",12668,13,397.87,1,"very recent","very rare","large"
"33",12678,11,53.28,1,"very recent","very rare","small"
"34",12681,12,1956.11,2,"very recent","rare","very large"
"35",12682,23,949.29,2,"old","rare","very large"
"36",12683,23,955.08,2,"old","rare","very large"
"37",12686,29,71.14,1,"oldest","very rare","small"
"38",12691,15,162,1,"very recent","very rare","small"
"39",12705,15,696,1,"very recent","very rare","very large"
"40",12708,26,178.44,1,"old","very rare","small"
"41",12709,15,1189.69,2,"very recent","rare","very large"
"42",12712,23,416.63,2,"old","rare","large"
"43",12720,15,531.13,2,"very recent","rare","large"
"44",12721,12,268.6,1,"very recent","very rare","medium"
"45",12725,29,371.8,1,"oldest","very rare","large"
"46",12726,15,152.28,1,"very recent","very rare","small"
"47",12731,22,927.9,1,"recent","very rare","very large"
"48",12734,10,110.4,1,"very recent","very rare","small"
"49",12738,30,137.35,1,"oldest","very rare","small"
"50",12747,19,706.27,2,"recent","rare","very large"
"51",12748,9,4185.9,35,"very recent","very frequent","very large"
"52",12753,20,3590.59,1,"recent","very rare","very large"
"53",12755,23,3794.4,1,"old","very rare","very large"
"54",12763,27,320.08,1,"oldest","very rare","medium"
"55",12766,24,981.29,1,"old","very rare","very large"
"56",12779,29,248.16,1,"oldest","very rare","medium"
"57",12782,15,379.5,1,"very recent","very rare","large"
"58",12785,22,255.95,1,"recent","very rare","medium"
"59",12791,31,177.6,1,"oldest","very rare","small"
"60",12793,29,103.8,1,"oldest","very rare","small"
"61",12797,23,226.03,1,"old","very rare","medium"
"62",12808,26,101.4,1,"old","very rare","small"
"63",12826,23,155,1,"old","very rare","small"
"64",12829,18,85.75,1,"recent","very rare","small"
